"Q","SERIES_CODE","total_search","sum_link","sum_linkCtg","total_codefix","total_tabcount","links_by_series"
"tpbsn70",110300412670,3,3,0,2,15,3
"cb5-20",110300239070,4,3,0,2,5,3
"cb3-5",110300239070,1,1,0,1,2,1
"afdf32",110300412420,3,2,0,2,5,2
"htpa26s3m100-b-p5",110300405940,1,2,0,2,6,2
"ftlana10",110300130930,0,1,0,1,2,1
"ftlana10-p9.5-b35-l12-t2",110300130930,1,1,0,0,2,1
"rbyw80-80-t16",110300541220,1,1,0,1,1,1
"hdsmsb5",110300249570,1,1,0,1,1,1
"gdsmsb6-25-f9.5-m5",110300249570,0,1,0,1,1,1
"hgbs5",110300375660,0,1,0,1,2,1
"ttpt26t5150-a-h20",110300406820,1,1,0,1,2,1
"selataa10",110300580420,1,1,0,1,5,1
"knclb8-16",110300234440,0,1,0,1,1,1
"ehsg3-250-p1-n80",110200010160,0,1,0,1,1,1
"shmwm10-10",110301974370,1,1,0,0,3,1
"shmwm10-15",110301974370,1,1,0,0,3,1
"shmwm10-20",110301974370,2,1,0,1,3,1
"u-fwssc-v0.312-d0.50-t0.1250",110302179040,1,1,0,1,1,1
"wglb",110300602730,2,1,0,1,2,1
"wglb30",110300602730,1,1,0,1,3,1
"cbstsr4-16",110302280540,3,3,0,3,7,3
"cmpal60-n",110302287540,2,3,0,3,6,3
"cmpan60-n",110302287540,2,2,0,1,2,1
"cmpan60-n",110302389220,2,2,0,1,1,1
"clhb12",110301992140,6,4,0,1,6,4
"cga",110300511370,3,1,0,1,1,1
"rbbb60-60-12",110300541040,2,2,0,2,2,2
"rbbb80-150-12",110300541040,1,1,0,1,1,1
"sksts",110300222540,2,3,0,2,9,3
"esn",110200022510,15,8,0,3,8,8
"fb6-15",110200132750,0,1,0,1,1,1
"cb3-35",110300239070,4,2,0,1,3,2
"alqqd25",110301992230,3,1,0,1,2,1
"alqqd",110301992230,1,1,0,0,1,1
"alqd25",110301992230,0,1,0,1,1,1
"mspcm6-15",110300351340,2,2,0,2,12,2
"brusn",110302234250,1,1,0,1,1,1
"hfsm8-35",110300601330,0,1,0,1,1,1
"msb8-55",110100143940,1,1,0,1,1,1
"awt10-100",110302288510,1,1,0,1,2,1
"erl5.5-200-p5.0-w0.80-n100",110200017340,1,2,0,2,2,2
"xsg80-a-h",110300194450,2,3,0,3,9,3
"mtqam20",110300086560,1,2,0,2,2,2
"abnzl",110300312230,2,1,0,1,4,1
"pmuf",110300496510,1,1,0,1,2,1
"bssc1004-260-nc-rlc",110302401640,3,2,0,2,6,2
"ahln",110300515230,2,1,0,1,3,1
"mtspfr20",110300085070,1,1,0,1,2,1
"rocog",110302003250,1,1,0,1,6,1
"cldmc6-16-b",110300513220,2,2,0,2,2,2
"sthcbl1616",110300010440,1,2,0,2,3,2
"fsmsbg8-25-15",110300249050,1,1,0,1,2,1
"psfj8-300",110300000120,1,1,0,1,1,1
"psfj16-425",110300000120,2,2,0,2,2,2
"8080",110302255160,6,4,0,0,2,1
"hblpl8-8080",110302255160,3,2,0,2,4,2
"lmst16",110302404010,2,1,0,1,2,1
"wssbh30-8-3",110302398320,1,1,0,1,2,1
"ikcd100",110300545510,1,1,0,1,2,1
"buhl",110300427730,0,1,0,1,2,1
"strt",110300435340,1,1,0,1,2,1
"turnbuckle",110300435340,34,36,1,0,18,6
"lmud8",110300026810,1,1,0,1,1,1
"roruap",110300422220,0,1,0,1,2,1
"psfjz8-328-m4-n4-sc5",110300000640,0,1,0,1,1,1
"dws",110302283340,2,1,0,1,2,1
"grmk20",110300516540,1,1,0,1,3,1
"hscx6",110302264170,1,1,0,1,2,1
"kesh5-20",110300253770,1,2,0,1,3,2
"u-psccn0.50",110302154270,1,1,0,1,1,1
"lvnm20",110300602640,2,3,0,3,5,3
"anbn5-15",110300591010,1,1,0,1,1,1
"hlbs",110300113860,2,2,0,1,4,2
"wm5-20",110302288060,1,1,0,1,1,1
"hfsc6",110302369710,0,1,0,1,2,1
"phsos8",110300371730,4,4,0,3,12,4
"rsbm5",110300247310,1,1,0,1,2,1
"fwsjm-d9.5-v2-t2",110300235320,1,1,0,1,1,1
"fwsj",110300235320,6,1,0,0,1,1
"fwsjm-d14-v2-t5",110300235320,1,1,0,1,1,1
"ajkcm6-20",110300599840,1,1,0,1,1,1
"ajst6-35",110300599050,1,1,0,1,1,1
"ibnp5-16",110300241170,1,1,0,1,1,1
"fab12-110",110300247740,1,1,0,1,1,1
"bubble level",110300261040,3,4,0,3,5,3
"ibkpl5",110300241260,1,1,0,1,1,1
"flat head screw",110302281150,12,6,2,0,2,1
"msara",110302281150,5,1,0,1,2,1
"psl",110200150610,1,1,0,1,2,1
"u-fxaa0.50-y1.250-f0.313",110302157610,3,3,0,1,9,3
"ceraw30",110300236630,3,2,0,1,2,2
"aqk25",110300226130,1,1,0,1,1,1
"habl",110300468150,1,1,0,1,1,1
"cphj-5lb10-85.00",110200024430,1,1,0,1,1,1
"rbnmf2h15-45-25-f25-g12.5-z5",110300276620,2,2,0,1,2,2
"xmsg750-ra5",110300203370,2,2,0,2,5,2
"xmsg",110300203370,1,1,0,1,4,1
"slbnr",110300250540,4,1,0,1,2,1
"fjr12-1.25-8",110300353870,2,2,0,2,2,2
"bshm",110302368220,2,2,0,1,3,2
"f-cpdb1c9-43-4.5",110200039920,2,1,0,1,1,1
"grrmn20-60-10",110300072920,1,1,0,1,1,1
"u-setgr0.50-l1.50",110302174570,1,1,0,1,1,1
"internal retaining",110300258510,1,1,0,1,1,1
"sfac",110300002920,2,1,0,1,1,1
"sfac20-45-f25-p14-kc5-g-15",110300002920,1,1,0,1,2,1
"pscgc18-45-f25-p14-kc5-g15",110300002920,1,1,0,1,2,1
"psfcu18-45-f25-p14-kc5-a15",110300002920,1,1,0,1,2,1
"stpes1-10",110300279240,2,2,0,2,10,2
"cb2.5-8",110300239070,0,1,0,1,1,1
"nkmb",110300516630,1,1,0,1,2,1
"nkmab8-12",110300516720,0,1,0,1,2,1
"axfl-d40-l130-v27-n",110300272940,1,1,0,1,1,1
"axfl-d40-l140-v27-n",110300272940,2,2,0,0,2,2
"mfjwk44-20-22",110300124540,1,1,0,1,2,1
"blms",110300262010,2,5,0,5,5,5
"psfrp20-80.5-f58-p16",110300088140,1,1,0,1,3,1
"clbu20-27-58.7",110300114650,0,1,0,1,2,1
"kjbhsc10-p7.93-w3.98-l10",110300175730,2,2,0,1,2,2
"sfna12",110300003530,1,1,0,1,3,1
"sfna12-100-f10-p6-n6",110300003530,1,1,0,1,3,1
"spjl-n",110300142920,0,1,0,1,1,1
"sblt3_8_6",110300065470,1,2,0,2,6,2
"wf3-5",110302287970,3,3,0,2,4,2
"petkf12-45-sc20-m5-n5-g2-h3-npc",110300209850,2,1,0,1,4,1
"jbau5-5",110300132850,1,1,0,1,5,1
"htpa25s5m100-a-n10",110300406030,1,1,0,1,1,1
"htpa25s5m100-b-n14",110300406030,1,1,0,1,1,1
"htpa30s5m150-b-n14",110300406030,1,1,0,1,1,1
"cvsa260",110302040350,1,1,0,1,2,1
"s2m timing pulleys",110300405850,1,1,0,1,4,1
"rdoc6-50",110300229360,1,1,0,1,2,1
"bgca6001zz",110300100130,1,1,0,1,1,1
"msndc",110300381010,2,2,0,1,6,2
"cimrs15-20-0.5",110302399360,2,1,0,1,1,1
"psfar15-76",110300005720,1,1,0,1,1,1
"afdf49-70",110300412420,2,2,0,2,5,2
"afbd19-30w",110300412420,1,1,0,1,1,1
"htla25s8m400-e-22-bmc",110300409530,2,1,0,1,1,1
"umbh10-30a",110300424050,2,1,0,1,1,1
"umbh10-40a",110300424050,1,1,0,1,1,1
"gutb8-10-25",110300246070,1,1,0,1,1,1
"gutb4-5-15",110300246070,9,7,0,4,9,7
"rcb8-100",110300241350,2,1,0,1,1,1
"psfg10-405",110300000120,1,1,0,1,2,1
"ttbu425t5-100",110302194260,3,3,0,1,3,3
"lntdn10-p14-b14",110300578410,0,1,0,1,1,1
"lntdn10-p14-7-b14",110300578410,1,1,0,0,1,1
"lntdn10-p14.7-b14",110300578410,1,1,0,1,1,1
"unbh8",110300597040,0,1,0,1,1,1
"etkg25-212-m10-n10",110300208720,2,2,0,2,2,2
"rxr24-940",110300041420,3,3,0,3,3,3
"abeta24-940-52",110300062060,2,2,0,2,6,2
"abete24-940-52",110300062060,2,2,0,2,6,2
"bswe12",110300080170,2,2,0,2,2,2
"bswe10",110300080170,1,1,0,1,1,1
"bcbfb",110300555220,5,4,0,2,7,4
"button head cap screws - flanged",110300555220,3,2,0,0,8,2
"bnfb1505r-20",110302402070,2,1,0,1,1,1
"lajs10-a50-b50-l770",110302191550,2,1,0,1,1,1
"sfpxcr-d2.05-l30-cc",110300571660,1,1,0,1,1,1
"jbamn10-12",110300132760,1,1,0,1,1,1
"hfc6-",110300446540,1,1,0,1,1,1
"jpqd6-10",110300560910,1,1,0,1,1,1
"ajlttm6_20",110300594420,1,1,0,1,3,1
"htpa36s2m040_b_hue_a",110300405850,1,1,0,1,2,1
"jpngc",110302194710,3,1,0,1,2,1
"jbpe20-p16.00-w10.00-l17",110300133820,1,1,0,1,3,1
"urwh25",110300271450,1,1,0,1,2,1
"urwh25-5-10",110300271450,0,1,0,1,2,1
"fanas",110302286750,2,1,0,1,5,1
"caf5-2040-1800",110302368830,1,1,0,1,3,1
"nfs5-2040-1800",110302368830,1,1,0,1,3,1
"grrmn",110300072920,2,1,0,1,2,1
"grrmn15-100-5",110300072920,1,1,0,1,2,1
"nob4-6",110300516630,1,1,0,1,2,1
"gibs",110300069060,6,8,0,0,5,1
"grrmf15-15-5-100-e8-f92",110300069060,1,1,0,1,5,1
"fwzjm-d60-v50-p25-h20-t25",110300235930,2,3,0,3,9,3
"slsbg7-72-m3-n3",110300206870,1,1,0,1,2,1
"psdn",110300022520,9,2,0,1,3,2
"scb4-50",110300239250,1,1,0,1,2,1
"hfs30a8-4040",110300448820,1,1,0,1,1,1
"hfs30a8-40",110300448820,1,1,0,1,1,1
"cfas6-16",110300111760,4,1,0,1,3,1
"apmmy-n1-t1",110302041320,1,1,0,1,4,1
"rdjj12-100",110300230850,1,1,0,1,1,1
"stgar",110300190340,1,2,0,1,2,2
"mc01-11",110302204940,1,2,0,2,5,2
"sfjz10-110-m4-n4-sc50",110300000640,0,1,0,1,2,1
"plrc25",110302192160,3,2,0,2,12,2
"plrc25-320",110302192160,2,2,0,0,8,2
"sfpsd6-5.70-l8-b4.0",110300559670,1,1,0,0,5,1
"sfpsd6-p5.70-l8-b4.0",110300559670,1,1,0,1,5,1
"ajlctym6-20",110300594420,0,1,0,1,1,1
"sbknhm-30-25-a10",110300598170,0,1,0,1,1,1
"nr68s",110300396320,2,2,0,1,1,1
"nr68s",110302368560,2,2,0,1,1,1
"hfrollm",110302264010,2,1,0,1,6,1
"scb6-35",110300239250,0,1,0,1,1,1
"sc673zz",110302399970,1,1,0,1,3,1
"rtws30",110300258510,1,1,0,1,1,1
"smz10-10",110300037130,4,1,0,1,2,1
"plastic panel",110300493870,1,1,0,1,3,1
"gbn1162gt",110302190510,0,1,0,1,2,1
"slmu6g",110300026540,1,2,0,2,5,2
"ssfjc20-850-m8-sc12",110300000370,0,1,0,1,5,1
"lhzr20",110300027060,1,1,0,1,1,1
"wche",110302004130,2,2,0,1,6,2
"wche5",110302004130,1,2,0,1,6,2
"wcf5",110302004470,2,4,0,2,12,4
"b6701zz",110300107740,2,2,0,1,3,2
"hblfsn5-seu",110300437260,1,1,0,1,5,1
"wesp5",110302004220,2,2,0,1,2,2
"block for shim",110300137840,1,2,0,1,5,1
"block for shim",110300137930,1,2,0,1,2,1
"shstbn12-30",110300015950,1,1,0,1,1,1
"rng5",110302004310,0,1,0,1,1,1
"cpbc20",110300126550,1,1,0,0,3,1
"cpbc16-5-5",110300126550,1,1,0,1,3,1
"cpb12-5-5",110300126550,1,1,0,1,3,1
"cpbs20-5-5",110300126550,1,1,0,1,3,1
"cpbsc16-5-5",110300126550,4,2,0,2,6,2
"cpbc12-5-5",110300126550,1,1,0,1,3,1
"cpbsc20-5-5",110300126550,1,1,0,1,3,1
"motor bracket",110302286750,2,1,0,1,1,1
"fjbrsw4-4",110300354050,1,2,0,2,8,2
"fjbrsw4",110300354050,1,2,0,1,6,2
"lmumf20",110300026540,0,1,0,1,2,1
"sc693zz",110302399970,1,1,0,1,1,1
"gutb4_5_20",110300246070,1,1,0,1,4,1
"sfj8-470",110300000120,1,1,0,1,1,1
"sfj8-370",110300000120,1,1,0,1,1,1
"umc10",110300423260,0,1,0,1,1,1
"cln-p16",110100139650,0,1,0,1,1,1
"pqsp16-52",110100138070,0,1,0,1,1,1
"h-hstc",110100105440,1,1,0,1,2,1
"b6000zz",110300107740,4,3,0,2,5,3
"u-lmuw0.38",110302150520,1,2,0,1,4,2
"hfs5-2040-1367",110302368830,1,1,0,1,1,1
"hfs5-2020-847",110302368740,1,1,0,1,2,1
"hfs5-2020-140",110302368740,1,1,0,1,2,1
"org",110200126720,1,1,0,1,5,1
"msndtd",110300388010,2,2,0,2,7,2
"bgmwb6900zz-20",110300105550,2,1,0,1,2,1
"unka12",110300127860,1,1,0,1,1,1
"seb13_395",110300041510,1,1,0,1,3,1
"spjy",110300143710,2,1,0,1,2,1
"npa7",110300330520,2,2,0,1,4,2
"mchs14-70-v100-w350-f1000",110300382320,3,4,0,4,12,4
"mchk6-40-v100-w",110300382320,1,1,0,1,3,1
"njtb",110300370670,4,3,0,3,5,3
"njtb4-0.7-b6-#ma201",110300370670,0,1,0,1,1,1
"hcdgh5-15",110300095750,0,1,0,1,1,1
"hlts12-18",110300258940,0,1,0,1,1,1
"rcb12-130",110300241350,0,1,0,1,1,1
"nwl6.5-30",110100185330,1,2,0,2,2,2
"senc32h",110302201530,2,2,0,1,4,2
"clkgh16-50",110300097060,1,1,0,1,1,1
"sfjz25-325-m10-n12-sc5",110300000640,1,1,0,1,4,1
"ssfax25-500-f35-b10-p15-m10-t35-s10-q15-n10",110300003960,0,2,0,2,2,2
"xbrf6",110300200320,0,1,0,1,2,1
"dmsm40-12-45",110300392460,0,1,0,1,1,1
"fnt10",110300251150,0,2,0,2,2,2
"rtws68",110300258510,0,2,0,2,2,2
"rtws40",110300258510,0,1,0,1,1,1
"shccgh8-73.0-tc5",110300095750,0,2,0,2,2,2
"cron29",110302403560,1,1,0,1,3,1
"sgts16-125",110300142560,1,1,0,1,1,1
"grr25",110300072920,1,1,0,1,3,1
"ascfb-a95-b30-t0.2-q6-e6.5-c15-p41",110300238210,1,1,0,1,4,1
"bsp35b14-n-17",110300431320,1,1,0,1,3,1
"lhifcf6",110300027420,1,1,0,1,3,1
"ssfj3-55",110300000120,2,3,0,1,8,3
"scb6-25",110300239250,1,1,0,1,1,1
"strn10-40",110300592410,1,1,0,1,3,1
"plsbwf13-43",110300206870,2,1,0,1,1,1
"lsbwf17-50.5",110300206870,2,1,0,1,1,1
"uslh6",110302358850,0,1,0,1,2,1
"htpa20s2m060-k-p6-kc90",110300405850,1,1,0,1,1,1
"sus 303",110300536750,0,1,0,1,1,1
"bjphuz6-10.00-15",110300585660,2,2,0,2,2,2
"fjh",110300365860,1,1,0,1,2,1
"artp30",110300225250,1,1,0,1,2,1
"bgelp",110300281160,2,2,0,1,3,2
"mca-150-100-40",110300532910,2,2,0,2,4,2
"deep groove ball bearing",110300107740,3,8,0,1,4,2
"radial bearing",110302272840,5,5,0,0,1,1
"c6003z",110302272840,0,1,0,1,1,1
"glpsqag8-l40",110302387210,1,1,0,1,4,1
"ssvr28-700-3b",110300047810,2,1,0,0,4,1
"thupnda",110300582610,5,4,0,3,20,4
"psfjs25",110302148240,1,2,0,1,3,2
"lxaa12-8-f33-set",110300090760,1,1,0,1,1,1
"cimr12-18-",110302399360,1,1,0,1,1,1
"ursl",110302358760,2,3,0,1,10,3
"elata12-p10.20-b8",110300578750,0,1,0,1,1,1
"elata12-p10.20-b5",110300578750,0,1,0,1,1,1
"swy37-80",110200141850,4,4,0,2,20,4
"gjpdt",110300563170,6,1,0,1,2,1
"gjpdtc",110300563170,1,1,0,1,2,1
"jpdts10",110300560640,1,1,0,0,3,1
"jpdtd10-p12-l18-b6-g5-a8.7-y",110300560640,1,1,0,0,3,1
"jpdts8",110300560640,2,1,0,0,3,1
"jpdts10-p9-l15-b6-g5-a5",110300560640,1,1,0,0,3,1
"gjpdts6-p5-l12-b9.5-g5-a5-0",110300560640,1,1,0,0,3,1
"jpdtd10",110300560640,4,4,0,1,12,4
"gjpdts6-p8-l18-b13-g6-a6",110300560640,1,1,0,0,3,1
"lxr4510c-mx-b1-ra4560-440",110302275820,1,2,0,2,5,2
"rbdb80-80-t16",110300541220,0,1,0,1,1,1
"lch13",110300134950,1,1,0,1,2,1
"lubricated bushing",110300033110,1,2,0,1,3,1
"ccg15-48",110300095320,1,1,0,1,2,1
"bafry",110300103630,2,1,0,0,2,1
"bafcy",110300103630,1,1,0,1,2,1
"pepqj6_20_0",110300577260,3,2,0,2,2,2
"pepqj6-20-0",110300577260,1,1,0,1,1,1
"sfsxc-d2.0-l22.0-cc",110300571660,1,1,0,1,1,1
"sfsxc-d2.0-l9.0-cc",110300571660,2,1,0,0,1,1
"ssfjz10-200-m5-n5-sc20",110300000640,0,1,0,1,1,1
"ssfjz10-200-m5-n5",110300000640,0,1,0,0,1,1
"clbp12-15-59.2-ukc",110300114650,0,1,0,1,1,1
"meaac140-80-3",110300260860,0,1,0,1,1,1
"egbh30",110200099940,2,1,0,1,1,1
"lnmwm6-6-69",110300358610,1,1,0,1,2,1
"lnmwm6-6-54",110300358610,3,3,0,3,6,3
"lnmwm6-6-89",110300358610,1,1,0,1,2,1
"clan",110300506040,1,1,0,1,4,1
"clan65",110300506040,0,1,0,1,4,1
"rcb10-100",110300241350,0,2,0,2,4,2
"rcb10",110300241350,3,2,0,1,4,2
"rcb10-25",110300241350,2,2,0,0,2,2
"rcb10-70",110300241350,1,1,0,0,1,1
"cprsc25-8-10",110300126910,1,1,0,1,4,1
"fjfnv12",110300512160,0,1,0,1,1,1
"jbhc6",110300133120,0,1,0,1,2,1
"fwsss-d7.0-v4.5-t1.4",110300231910,1,1,0,1,1,1
"mssfs4-12",110300248260,2,2,0,2,2,2
"csr32-60",110100166070,1,1,0,1,1,1
"jbamc12-20",110300132760,1,1,0,1,2,1
"sfrn8-65-f18-b14-p6-sc10",110300087440,2,1,0,1,2,1
"shhps6-3",110302239670,3,1,0,1,2,1
"shhps6-2",110302239670,2,2,0,1,3,2
"lmsbh8-15",110300248960,1,1,0,1,1,1
"dp-an",110100136420,0,1,0,1,1,1
"ikysab500",110300543660,2,2,0,1,5,2
"rtp",110100103520,3,4,0,1,4,4
"elbow",110300315370,10,8,0,0,2,1
"sgphe",110300315370,3,2,0,2,4,2
"sgphe6",110300315370,0,1,0,1,2,1
"las10-a125-b60-l50",110300543840,2,1,0,1,1,1
"fbfs40-10-70",110300508750,4,2,0,1,2,2
"fssfs5-50",110300248870,4,4,0,4,4,4
"n-c",110302201870,0,1,0,1,4,1
"pcfnn60-44-6",110300536140,1,1,0,1,2,1
"sjpqb8-10",110300560910,4,3,0,1,6,3
"strcn5-30",110300592410,1,1,0,1,1,1
"gsclbr",110300096110,2,2,0,2,2,2
"mpwz6",110300033720,0,1,0,1,1,1
"ssfrt8-37-m4-fc10-g17",110300088840,2,1,0,1,3,1
"ssfrt8-37-m4-fc13-g17",110300088840,1,1,0,1,3,1
"ssfrt8-37-m4-fc10-g22",110300088840,0,1,0,1,3,1
"fwass-d11.5-v8-t4.9",110300231910,1,1,0,1,1,1
"bssr1405-280-nc-rlc-swc9",110300077730,1,1,0,1,3,1
"fpbta8-p10-l8-b15-tc15",110300557930,1,1,0,1,3,1
"ssebz16-110",110300041670,3,6,0,3,22,6
"hccg3-127-n-c30-tc2",110300095750,1,1,0,1,4,1
"hccg3-127-n-c30-tc2-2.2",110300095750,1,1,0,0,4,1
"unlet4",110300277050,0,1,0,1,2,1
"unlet4h",110300277050,1,1,0,1,2,1
"clbss26-27.5",110300114650,1,1,0,1,1,1
"htpb72s5m250-a-h26",110300406030,1,1,0,1,1,1
"htpm24s5m250-a-n14",110300406030,0,1,0,1,1,1
"bghfs",110300105210,4,2,0,2,4,2
"bfpnsa8-p10-l5-b10-m8",110300558540,1,1,0,0,2,1
"bfpnsa",110300558540,1,1,0,1,2,1
"hbktst6",110302061170,1,1,0,1,2,1
"bghfs6204zz-55",110300105210,0,1,0,1,1,1
"pnfnn-260-210-25-cca5-ccb5-ccc5-ccd5",110300538670,3,2,0,1,6,2
"barz6204dd_70_2_14b",110300102750,3,2,0,2,3,2
"aipoz6-20",110300266730,1,1,0,1,2,1
"nkbb8",110300516630,0,1,0,1,1,1
"mlhs10",110300415650,0,2,0,2,4,2
"slxaa10-10-f9-1",110300090760,2,2,0,2,12,2
"slxaa10-10-f9",110300090760,1,1,0,1,6,1
"slxaa10-15-f9",110300090760,1,1,0,1,6,1
"slxaa10",110300090760,1,1,0,0,6,1
"hsca6-y",110302263310,0,1,0,1,3,1
"ssebwl16",110300045170,1,1,0,1,1,1
"mmkd",110300223760,2,1,0,1,2,1
"kmkd",110300223760,2,2,0,2,4,2
"jbh3",110300133120,1,1,0,1,5,1
"cjpnbb8",110300558270,1,1,0,1,2,1
"stxs",110300545150,1,1,0,1,2,1
"hntfv8",110302257170,0,1,0,1,1,1
"shfz6",110300031960,1,1,0,1,2,1
"sjal10-90-p9.0",110100093270,0,1,0,1,1,1
"round tip",110300567730,1,1,0,1,5,1
"lbna",110300570710,4,3,0,1,4,3
"sqn4",110300389320,2,1,0,1,3,1
"esvk-h5-40-v3-s30",110200182630,2,1,0,1,1,1
"n-mstkg",110300153420,0,1,0,1,2,1
"sthwcb25",110300009220,1,1,0,1,1,1
"bikd150-50",110300542530,0,1,0,1,3,1
"sb16-64",110100144550,1,1,0,1,1,1
"sb13-150",110100144550,1,1,0,1,1,1
"psfae",110300007210,0,1,0,1,2,1
"cstwa-y236-l420",110302463060,1,1,0,1,1,1
"knclb10-15-15",110300234440,1,1,0,1,1,1
"mspm-s",110300158050,0,3,0,3,6,3
"mspm",110300158050,1,1,0,1,2,1
"mca2",110300533070,3,4,0,3,6,3
"urethane rollers",110302279140,7,4,0,1,2,1
"srx",110300068110,7,1,0,1,2,1
"u-tclss",110302179740,2,3,0,2,6,3
"drive roller",110302024340,3,1,0,1,1,1
"nefs6",110302370140,1,2,0,2,6,2
"gear  rack",110300430010,1,1,0,1,3,1
"cfpqa2-p2.5-l6-b5",110300560910,1,1,0,1,1,1
"sfmr15",110300086920,0,1,0,1,4,1
"tensioner plate",110300434910,1,1,0,1,2,1
"kess6-20",110300253770,0,1,0,1,1,1
"wsss30-8-2",110300231730,0,1,0,1,1,1
"lbrsm",110300356850,3,5,0,3,9,5
"lbrbf",110300356850,4,4,0,2,11,4
"clbps8-11-1.5",110300114650,1,1,0,1,2,1
"hgbb",110300375660,8,2,0,1,4,2
"tpnfp30",110200096010,0,2,0,2,3,2
"cfpqa8-p12.00-12",110300560910,1,1,0,1,2,1
"cfpqd8-p12.00-l12-b4.0",110300560910,1,1,0,1,2,1
"bmuaw",110301977010,2,1,0,1,2,1
"fwb",110300247740,2,1,0,1,2,1
"gpa18gt3060-a-p5",110302193560,3,2,0,2,8,2
"geakb1.0-50-10-a-15n",110300428430,1,1,0,1,2,1
"mla",110300415740,3,2,0,1,2,2
"wbmuaf",110300293670,2,1,0,1,2,1
"rgma2.0-300-wmc6",110300430010,1,1,0,1,1,1
"pbt15",110300109050,4,1,0,1,1,1
"geabd2.0-20-20",110300429470,1,1,0,1,1,1
"hsmcs65-u",110300477340,0,1,0,1,3,1
"rwcgf50-15-52-h0.3",110301958970,1,1,0,1,1,1
"hbldswt8-seu",110300452750,0,1,0,1,3,1
"rofaf25-6-l52",110300418540,1,1,0,1,1,1
"buu8_25",110300266030,2,2,0,1,6,2
"wm22-55",110302288060,1,1,0,1,1,1
"u-ssfad0.25-l1.38-f0.38-b0.30-t10-u5-sc0.05",110302149120,1,2,0,2,2,2
"wf18-30",110302287970,2,3,0,3,12,3
"cpnd",110300127160,1,1,0,1,2,1
"pccg12",110300095320,2,1,0,1,2,1
"sseb10-275",110300041510,3,3,0,1,13,3
"bcass",110300523540,1,1,0,1,5,1
"upwh3-10",110300597310,1,1,0,1,1,1
"sfjw12-370.4-m6-n6-lkc",110300000550,1,2,0,2,4,2
"htua5-pc-435-840",110302284740,2,2,0,2,6,2
"nkpf5",110300518640,0,1,0,1,1,1
"gjpbpb",110300557320,1,1,0,1,2,1
"gjpbpb4-5",110300557320,1,1,0,0,2,1
"ttpa30-at10200",110302193920,0,1,0,1,2,1
"pjlsk",110300142830,3,2,0,1,10,2
"hfs6-3030-602",110302369620,1,1,0,1,1,1
"hfs6-3030-762",110302369620,0,1,0,1,1,1
"bgfcz6806zz",110300103020,1,2,0,0,2,2
"bgfcz6905zz",110300103020,0,1,0,1,1,1
"spjt20-655",110300006240,1,1,0,1,4,1
"spjt20-655-m16-2-03",110300006240,1,1,0,0,4,1
"wche4-284",110302004130,1,1,0,1,1,1
"manifold fitting",110300304620,1,1,0,1,2,1
"tlsb",110300218250,2,2,0,1,3,2
"stbs10-30",110300593810,0,1,0,1,1,1
"mahm",110302287810,0,1,0,1,1,1
"shptcul5-set",110302245810,1,1,0,1,4,1
"pxsr",110300146670,1,1,0,1,1,1
"sjpngc",110302194710,2,1,0,1,2,1
"tgu",110300190250,2,1,0,1,5,1
"u-barb6003zz-l1.50",110302159530,0,1,0,1,1,1
"scsj10-6",110300018840,2,1,0,1,2,1
"sfab25-316-f6-p18-m10-t43-s38-q12-sc290",110300004140,1,1,0,1,1,1
"ssteh19a",110300595640,1,1,0,1,1,1
"pxrk",110300150530,0,1,0,1,4,1
"pxsk16",110300150530,1,1,0,0,4,1
"seal washer",110302359550,2,1,1,1,1,1
"hmgn5",110300479710,2,2,0,2,3,2
"ajstkm6_50",110300599230,1,1,0,1,1,1
"b6004llu",110300107740,1,1,0,1,1,1
"b6006llu",110300115350,0,1,0,1,1,1
"wasmh25-15-5",110302398320,1,1,0,1,1,1
"pssfgj20-1050-f16-p14-t16",110300003260,1,1,0,1,1,1
"baltan8-40",110300602030,1,1,0,1,1,1
"lx2005pg",110300075020,3,1,0,1,4,1
"u-sbfm0.31-a1.50-h0.50",110302169670,1,1,0,1,1,1
"u-sbfm0.31-a1.5-h0.5",110302169670,1,1,0,1,1,1
"bbt6",110300548040,1,1,0,1,2,1
"gbhe50-150",110200092150,1,1,0,1,2,1
"cbdr12_6",110300097240,1,1,0,1,3,1
"cbdbrh12-10",110300097240,1,1,0,1,3,1
"xysgb60",110300194810,1,1,0,1,4,1
"fslas-amw-t3-a25-b80-l25-h10-n5-s64-na6",110302461930,2,1,0,1,5,1
"sccgh6-76.5",110300095320,1,1,0,1,1,1
"ccg4_23_0_nc1_5",110300095320,1,1,0,1,1,1
"ccg8_28_2_nc2_4",110300095320,1,1,0,1,1,1
"sccgh12-90.5",110300095320,2,2,0,2,2,2
"ccg6_31_4_nc1_9",110300095320,1,1,0,1,1,1
"sfpg35-280-f16-p20-m10-sc5",110300003170,1,1,0,1,4,1
"a2-6f-mma-nnn-203.2-203.2-38",110302501740,1,1,0,1,2,1
"mvpat",110300329460,0,1,0,1,2,1
"ttpa30-at10150-a-h18",110302193920,0,1,0,1,2,1
"ttpa22-at10150-a-h18",110302193920,1,1,0,0,2,1
"n-msta-df-nc",110300155610,1,1,0,1,1,1
"gbn2002gt-90",110302190510,2,1,0,1,3,1
"trim seal",110300286760,1,2,0,0,10,2
"trsbsb",110300286760,1,1,0,1,5,1
"cimrs5-12-0.5",110302399360,1,1,0,1,1,1
